Variable,Mean,Min,Max
elevation,47.96666666666667,11.0,225.0
temperature_2m_max,29.15842808122409,13.444499969482422,36.459999084472656
temperature_2m_min,21.127617490617304,7.994499683380127,28.583999633789062
temperature_2m_mean,24.69105724993082,10.504918098449707,30.994417190551758
apparent_temperature_max,33.56661276643611,9.755168914794922,44.49158477783203
apparent_temperature_min,24.084196679579104,4.113994598388672,34.28059005737305
apparent_temperature_mean,28.238520983789787,6.783786773681641,36.92057418823242
daylight_duration,43725.437728398225,38638.33984375,48724.84765625
precipitation_sum,7.717122053185339,0.0,374.5000305175781
rain_sum,7.717122053185339,0.0,374.5000305175781
precipitation_hours,5.304280510018215,0.0,24.0
wind_speed_10m_max,13.99979848592442,4.236696720123291,82.1955795288086
wind_gusts_10m_max,29.91993361665903,10.799999237060547,143.27999877929688
shortwave_radiation_sum,17.730388891919496,0.8700000047683716,27.309999465942383
et0_fao_evapotranspiration,3.744641366633561,0.5957350134849548,6.669339179992676
latitude,22.69297044806266,22.603715181296828,22.798749904433336
longitude,120.42740815219767,120.30648228973898,120.49589857510738
day,183.49726775956285,1.0,365.0
cumulative_temperature_2m_mean,4467.510495012662,18.569499969482422,9216.70403766632
cumulative_apparent_temperature_mean,5038.175492038449,19.133996963500977,10527.528470039368
cumulative_daylight_duration,8075032.9954085555,38733.484375,16003810.05078125
cumulative_sunshine_duration,6294462.035868028,33360.12109375,12456078.256866455
cumulative_precipitation_sum,1113.9243426650328,0.10000000149011612,3028.5000359117985
cumulative_rain_sum,1113.9243426650328,0.10000000149011612,3028.5000359117985
cumulative_precipitation_hours,849.9916211293261,1.0,2011.0
cumulative_shortwave_radiation_sum,3368.339196382303,12.180000305175781,6731.719996094704
cumulative_et0_fao_evapotranspiration,716.1724125730915,2.3478572368621826,1437.68375736475
