flight,elevation,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,latitude,longitude,day
0,24.0,24.63949966430664,21.439498901367188,22.94575309753418,0.6000000238418579,22.98406,120.2172,317
0,150.0,27.24049949645996,22.440500259399414,24.836334228515625,0.9000000357627869,23.773679,120.67292,271
0,11.0,24.786998748779297,12.88700008392334,17.23908233642578,0.0,23.322263,120.276944,56
0,30.0,28.87200164794922,19.37200164794922,23.140748977661133,0.0,22.99466,120.2313,79
0,21.0,30.06450080871582,25.664501190185547,27.195749282836914,19.0,22.68347,120.3536,213
0,24.0,28.354000091552734,19.70400047302246,23.49775505065918,2.3999996185302734,22.66642,120.4875,304
0,13.0,28.225000381469727,25.67500114440918,26.71666717529297,12.100001335144043,22.62917,120.3059,224
0,54.0,25.428998947143555,14.479000091552734,18.764415740966797,6.499999523162842,23.71063,120.5415,55
0,13.0,21.982500076293945,15.732500076293945,18.403331756591797,7.0,23.01055,120.2035,5
0,30.0,28.775501251220703,21.87550163269043,24.85883331298828,4.400000095367432,22.68929,120.4333,303
0,442.0,24.21099853515625,16.01099967956543,20.108915328979492,0.0,22.72083,120.6649,64
0,54.0,26.178998947143555,17.479000091552734,20.366498947143555,0.10000000149011612,23.71063,120.5415,322
0,13.0,31.682498931884766,27.282499313354492,29.253332138061523,3.1999998092651367,23.01055,120.2035,198
0,145.0,30.493999481201172,20.493999481201172,24.5294132232666,0.0,24.187095,120.610158,292
0,70.0,26.52899932861328,18.729000091552734,22.781082153320312,0.0,22.78797,120.614,304
0,62.0,29.96500015258789,23.915000915527344,26.842086791992188,2.0,23.10608,120.4703,265
0,70.0,28.428998947143555,22.178998947143555,24.78316307067871,0.10000000149011612,22.78771,120.6139,308
0,29.0,27.860000610351562,23.810001373291016,25.62041664123535,17.200000762939453,22.615126,120.566297,230
0,68.0,30.54199981689453,24.79199981689453,27.49199867248535,2.700000047683716,22.78551,120.6096,208
0,34.0,25.534500122070312,16.284500122070312,19.817832946777344,0.20000000298023224,23.86692,120.5274,349
0,97.0,24.230499267578125,15.230500221252441,19.363834381103516,0.0,22.6437,120.6109,40
0,90.0,30.67599868774414,24.97599983215332,27.378082275390625,12.90000057220459,22.64444,120.6098,189
0,60.0,29.190000534057617,21.239999771118164,24.91291618347168,1.399999976158142,23.704804,120.554075,141
0,145.0,30.643999099731445,24.143999099731445,26.931501388549805,3.1999998092651367,24.187095,120.610158,235
0,125.0,26.374000549316406,15.223999977111816,20.748998641967773,0.0,24.185224,120.6155953,64
0,145.0,12.993999481201172,7.993999481201172,10.8585844039917,5.3000006675720215,24.187095,120.610158,10
0,145.0,31.493999481201172,24.194000244140625,27.246084213256836,12.199999809265137,24.187095,120.610158,249
0,66.0,24.673999786376953,14.673999786376953,19.219831466674805,0.10000000149011612,24.1215321680187,120.675916582621,86
0,15.0,29.15450096130371,23.35449981689453,25.354501724243164,47.0,23.04946,120.3195,146
0,70.0,24.378999710083008,12.579000473022461,18.868581771850586,0.4000000059604645,22.78771,120.6139,69
0,20.0,31.590499877929688,25.340499877929688,28.480085372924805,1.3000000715255737,22.6411,120.3587,161
0,33.0,20.052499771118164,13.90250015258789,16.04416847229004,1.6999999284744263,22.99299,120.2295,340
0,39.0,22.2185001373291,13.218500137329102,16.77891731262207,0.0,23.48595,120.4572,334
0,13.0,28.58249855041504,21.232500076293945,24.611669540405273,1.3000000715255737,23.01053,120.2035,299
0,13.0,24.782499313354492,15.532500267028809,19.674163818359375,0.800000011920929,23.01053,120.2035,61
0,12.0,29.18899917602539,19.48900032043457,23.691085815429688,0.0,23.00269,120.1975,94
0,13.0,23.532499313354492,11.782500267028809,17.832500457763672,0.0,22.99566,120.2003,51
0,94.0,21.49199867248535,10.792000770568848,15.592000007629395,0.0,24.15017,120.6775,49
0,90.0,25.47599983215332,19.525999069213867,22.873916625976562,0.0,22.64444,120.6098,295
0,125.0,31.724000930786133,24.27400016784668,26.919830322265625,17.399999618530273,24.185224,120.6155953,239
0,23.0,21.010000228881836,12.460000038146973,16.132917404174805,0.0,22.63134,120.313,28
0,90.0,30.42599868774414,23.72599983215332,26.77391815185547,3.9000000953674316,22.64444,120.6098,128
0,7.0,29.321500778198242,24.971500396728516,26.779836654663086,10.600000381469727,23.04296,120.2161,253
0,20.0,24.540498733520508,15.590500831604004,19.315500259399414,0.0,22.6411,120.3587,356
0,79.0,30.039499282836914,23.63949966430664,26.46241569519043,13.899999618530273,24.13678,120.685,145
0,21.0,27.364500045776367,20.76449966430664,23.827003479003906,0.0,22.68347,120.3536,324
0,17.0,28.048999786376953,19.048999786376953,23.36566734313965,0.0,22.6264,120.2673,87
0,35.0,30.74049949645996,25.340499877929688,27.23633575439453,23.5,23.09319,120.3746,205
0,34.0,23.54599952697754,15.496000289916992,19.05433464050293,0.0,22.99049,120.2329,349
0,12.0,28.93899917602539,18.638999938964844,22.668167114257812,0.0,23.00269,120.1975,64
0,97.0,30.480499267578125,22.3804988861084,26.355497360229492,9.600000381469727,22.6437,120.6109,269
0,13.0,32.08250045776367,24.58249855041504,28.490829467773438,0.0,23.01053,120.2035,278
0,78.0,32.0109977722168,24.861000061035156,28.07349967956543,3.0999999046325684,23.12335,120.4702,189
0,55.0,19.996999740600586,6.897000312805176,13.14074993133545,0.0,23.495618,120.499877,358
0,34.0,22.58449935913086,10.334500312805176,15.851165771484375,0.0,23.86692,120.5274,66
0,9.0,30.128000259399414,26.477998733520508,28.480087280273438,0.20000000298023224,22.46099,120.4437,237
0,66.0,19.224000930786133,12.323999404907227,14.81775188446045,6.199999809265137,24.1215321680187,120.675916582621,44
0,9.0,25.378000259399414,20.827999114990234,23.213417053222656,0.0,22.46099,120.4437,59
0,66.0,29.993499755859375,22.293498992919922,26.614334106445312,0.0,24.0896333333333,120.708066666666,204
0,125.0,29.124000549316406,20.07400131225586,23.92816734313965,0.0,24.185224,120.6155953,322
0,35.0,29.974498748779297,16.37449836730957,22.745336532592773,0.0,23.0133,120.2389,70
0,32.0,27.652000427246094,16.50200080871582,21.85408592224121,0.0,22.66161,120.5153,72
0,145.0,31.29400062561035,23.493999481201172,27.260665893554688,0.0,24.187095,120.610158,240
0,60.0,24.78999900817871,11.9399995803833,17.346250534057617,0.0,23.704804,120.554075,57
0,151.0,25.820999145507812,15.421000480651855,19.539749145507812,0.10000000149011612,23.34264,120.4771,362
0,39.0,29.84950065612793,24.899499893188477,26.51824951171875,35.10000228881836,22.7166,120.5214,248
0,34.0,30.384498596191406,21.784500122070312,26.105331420898438,2.299999952316284,23.86692,120.5274,253
0,11.0,29.687999725341797,26.687999725341797,28.337997436523438,4.600000381469727,22.58366,120.3603,249
0,30.0,22.925500869750977,13.525500297546387,17.738000869750977,0.5,22.68929,120.4333,49
0,10.0,23.75200080871582,12.152000427246094,16.633251190185547,0.0,22.99572,120.181,16
0,51.0,29.148500442504883,16.398500442504883,21.933914184570312,0.0,23.71508,120.5388,98
0,20.0,27.690500259399414,24.290498733520508,25.650917053222656,60.40000534057617,22.6411,120.3587,144
0,145.0,31.5939998626709,21.29400062561035,25.3419189453125,0.0,24.187095,120.610158,325
0,68.0,28.341999053955078,18.191999435424805,22.937833786010742,2.5999996662139893,22.78551,120.6096,83
0,14.0,28.016000747680664,22.216001510620117,25.343080520629883,0.0,22.56478,120.3546,298
0,25.0,34.382999420166016,26.182998657226562,30.07048988342285,0.4000000059604645,22.98456,120.2131,141
0,145.0,31.29400062561035,23.493999481201172,27.260665893554688,0.0,24.187095,120.610158,240
0,17.0,28.948999404907227,22.048999786376953,24.680246353149414,0.0,22.6264,120.2673,333
0,17.0,29.249000549316406,22.64900016784668,25.361501693725586,0.5,22.6264,120.2673,111
0,21.0,20.361000061035156,13.91100025177002,16.598501205444336,0.0,23.007036,120.219715,363
0,8.0,26.999000549316406,21.3489990234375,24.155248641967773,13.200000762939453,22.648109,120.277094,310
0,9.0,27.17799949645996,21.628000259399414,24.617586135864258,0.0,22.46099,120.4437,86
0,21.0,29.523000717163086,24.572999954223633,27.0396671295166,0.9000000953674316,22.61897,120.3843,291
0,42.0,27.12550163269043,21.12550163269043,23.802583694458008,1.100000023841858,23.45712,120.4657,114
0,125.0,33.02399826049805,24.02400016784668,28.528165817260742,1.100000023841858,24.185224,120.6155953,278
0,150.0,26.390499114990234,17.290498733520508,21.628000259399414,1.0,23.7738,120.672729,75
0,18.0,26.834999084472656,17.434999465942383,20.818330764770508,0.0,23.01958,120.2545,338
0,60.0,18.78999900817871,11.539999961853027,16.248334884643555,8.100000381469727,23.704804,120.554075,65
0,140.0,28.093000411987305,18.4429988861084,22.417999267578125,0.0,24.17795,120.72,296
0,39.0,28.949501037597656,23.59950065612793,25.687002182006836,1.5000001192092896,22.7166,120.5214,268
0,31.0,26.993499755859375,18.443500518798828,22.2830867767334,0.0,22.88466,120.3331,330
0,9.0,24.286998748779297,14.53700065612793,18.45158576965332,3.1000003814697266,22.93325,120.2305,90
0,5.0,28.434499740600586,26.234498977661133,27.37616539001465,13.600000381469727,23.03171,120.2062,223
0,28.0,32.62900161743164,24.979000091552734,29.12483787536621,5.59999942779541,22.63935,120.548,212
0,30.0,18.472000122070312,9.871999740600586,13.64699935913086,0.0,22.99466,120.2313,40
0,62.0,33.14550018310547,23.795499801635742,27.77466583251953,3.1000001430511475,23.4682,120.4837,174
0,145.0,17.993999481201172,9.894000053405762,13.033583641052246,0.0,24.187095,120.610158,16
0,32.0,20.208999633789062,17.958999633789062,19.12150001525879,22.999998092651367,22.99437,120.2323,362
0,62.0,29.795499801635742,16.945499420166016,22.289247512817383,0.0,23.4682,120.4837,73
0,145.0,31.29400062561035,22.29400062561035,26.76275062561035,0.20000000298023224,24.187095,120.610158,134
0,39.0,28.699501037597656,22.59950065612793,25.570335388183594,0.9000000357627869,22.7166,120.5214,262
0,21.0,30.965499877929688,20.465499877929688,24.890501022338867,0.30000001192092896,23.03354,120.3122,86
